,user_screen_name,user_name
3222,nung_306,rakyat oposisi
3226,Meilialism,Meilia
3231,train_subwayID,Nuell
3249,Ars_sand,54 NDI - RAKYAT
3255,KelTurangga,Turangga BAHAGIA
3265,madiuntoday_,madiuntoday
3287,_adityaiskandar,Sayap Jibril
3318,EdiIswardi,#I am What I am..
3333,cigsandchills,Leon
3359,hartono_tb,Quo Vadis Justice?!
3414,m_natsirdmokrat,MNU
3549,Hmmurahmurahhm2,Hmmurahmurahhm
3669,SukoharJOS,SukoharJOS
3754,mus_tanjung,Mus Tanjung
3765,WSuryasana,VAKSIN COVID-19
3821,Bumi_Intanpari,#AkuCahKaranganyar
3829,mudha_satriya,Satriya Mudha
3885,arintiafeni,Arintia Chelsea
3890,seruanhl,SERUAN H7
3963,iskandarology,Crazy Broke MD
4060,ber2dulu,Berdua Dulu
4254,VaniaCiprut,Vania
4257,tjhinfar,Bhinneka Tunggal Ika 1st
4274,edykrit22,Eddy Kriting
4285,Markonah76,CᎥn†ค 🇮🇩
4292,_deesari,Dee
4330,Pemuda_Depok,Pemuda Indonesia
4335,_TeWeL7,TeWeL
4349,teekuz,Asep Silet
4358,salahsambungya,Halo
4525,Kec_Kircon,Kecamatan Kiaracondong | #BandungNuUrang209
4674,monokyeom,nana~SEMI REST
4728,SyairRevolusi,#Reject NWO
4731,Andrazahira,Andra Zahira
4733,bayprio,Bayu Prioko
4754,vania_ps,teman berbagi
4856,hadiprayitno82,Hadi Prayitno
5023,Anak_Senja90,Anak_Senja90
5050,widyavirgiana,anaknya bu cok
5053,BangPitung_AJW,Bang Pitung
5058,CassaRudi,Cassa Rudi
5090,mahesatiwi,MahesaTiwi
5302,asuhan_nemesis,NemesisAsuhan
5303,shae_ll,DUA L
5322,RETHA_Monicaa,Ketty
5432,kel_skwarna,KELURAHAN SUKAWARNA
5549,jen_l4u,Covid-1984🙃
5558,RikaSudjiman,Rika Sudjiman
5651,rossii_A,Asmirandah
5658,NovenNancy,nancy_noven
5797,SurabayaHolic,Portal Surabaya
5804,Lionelbarcalope,Roccuzzo
5835,abungresik,Don @bun
5894,rizahariati,Riza Hariati 🇮🇩
5896,zarazettirazr,Zara 🐪
5907,hhaijuli,Rumah🌻
5958,EsiJuntak,Theresia Simanjuntak
6041,2Mikeadamhalik,Mikehalikadam2🇮🇩
6075,yogielanwar,YEA
6164,sbyfess,🦈 SUROBOYOFESS 🐊
6208,itsmeyunero,Ay.
6283,YolaAdipratama,Adipratamayola
6544,Dhinijogja,Dhini
6607,ijnap,Panji Pratama
6617,maspit1882,Warga NKRI
6640,YasminEliana19,Yasmin Eliana
6993,yudhapati88,Oka ॐ
7068,candramrvl,#KeepWalking
7144,tembelek_gadJah,Dem๑೧ Hun†er
7179,unisifmyk,104.5 FM Unisi Radio
7234,ReyArfa,Rayhan Arfa
7240,cak_sugenk,Cak Sugeng
7264,Wrp73RM,RANGER
7277,kuis_pemburu,Pemburu kuis
7311,sigitraditya_,Sigit Raditya
7313,NgkongRoses,Call me Ngkong Roses
7319,Owi_Owl,Owi B 🆒
7336,bhre_wengker84,☆_BЦZZΣЯ ΛᄂΛM GΉΛIB_🇮🇩
7579,cxvaa_,Ayung wlkrdnz
7595,dawiguna,Donny A. Wiguna
7676,fikaosman,Just Fika
7822,xotory_,·ᴥ·ᖴIᖴᗩᕼ𓅷 •kindaia•
7862,InformasiMadiun,Informasi Madiun
7894,ParikanSaru,Mas Manuk
7935,ElshintaBandung,Elshinta Bandung
7948,Luke_Bali,Lusia Ineke
7975,DJ__007_,Channel Aiek
7976,AtikahWidarti,عا تكة
7981,kumpulanSBY,Kumpulan Surabaya
8048,weddie_s,weddie|s 😷
8082,Mdy_Asmara1701,Maudy Asmara
8091,wanrosadi,WandaRosadi
8209,9iseeel,gisel
8213,Widyarenee,Jeng Rini GL
8237,Istanapasir2,🏜️Ist@n@p@s1r⛱️
8238,jitoe02,Jitu ⚓ หนึ่ง
8258,LgVeder,Veder
8270,ByruBima,BimaByru
8278,sihaloho85,Ko Chun
8324,Dew0W1snu,🌹 Dewo Wisnu🌹
8343,BumiPager,pager bumi
8350,FTanjung007,F. Tjg
8357,kangmul57,Kang Mul
8482,Banteng_Indo,Indonesia Maju 🇮🇩
8566,Lima8Satu,L Y A N I
8596,LaNyallaMM1,La Nyalla MM
8652,sidikalangblend,Akun Ini Dilindungi Oleh Undang-Undang
8687,kotamagetan_,"Magetan, Jawa Timur, ID"
8801,prokopimkwb,Prokopim Kota Batu
8894,priacirebon,프리아 치르번
9012,batamtoday,BATAM TODAY
9034,SepakbolaLMG,Jaga kesehatan
9035,pakguruhonorer,GuruHonorer
9053,rasifm,🇷 🇦 🇸 🇮 🇲 🇦 🇬 🇪 🇹 🇦 🇳 ™
9119,MazDzar,• Dzar Al Banna
9152,IGNBagus07,IGNᗷᗩGᑌS 07⌚️
9192,salaamitusalam,salaam
9271,Ayu_Fara_,Ayu Faraninda 🇮🇩🇮🇩
9316,dandun_w,Dandun Widhiantoro
9447,KelurahanLedeng,Kelurahan Ledeng
9458,Lantas_banjar,Sat Lantas Banjar Jawa Barat
9593,AprilLagiAza,AprilLagiAza
9659,ariefps999,Velox Et Exactus
9683,tzuyoo_,ⓓ ❁ 🐶
9686,NotLossers,Pasir Berbisik
9695,irfanaconk07,irfan biasa aja
9698,Fido_Dildo,Carmina Burana
9774,PolsekKertasari,Polsek Kertasari
9877,agenvalid,Avail Jogja || Real Pict - Real Tweet
9924,catatankakihati,चाटतन c\atatanKaQiH4ti
9943,Widyarenee_,Jeng Rini LG
9947,Virgin_97,Virgin
9984,humaskpt1,Humas_KPT
10104,KTabahawa,Kieraha Malang
10259,widi_kartika,widi kartika
10265,KabarSiang,Kabar indonesia
10292,salsabilaa321,Salsabila321
10413,chinta_chintata,IYEM TULKIYEM
10452,Oji4712,Oji
10547,ARIFILIZER,ARIF
10597,ruliemaulana,Rulie Maulana
10607,jongkokloncat,.
10611,andi_chairil,Andi Chairil
10667,ZoneVenomWar,Mas Zone
10697,fuckingdustbag,felyyaa
10698,herlambang_tan,Pray4Humanity 🙏 #NM 🇮🇩
10710,M_YusufD,🇲 𝐘𝐮𝐬𝐮𝐟
10731,TheMaximvs09,The Investor
10743,YRadianto,Aki Tulalit
10775,mcaeltony,SiNaga Tanah
10791,GultomBani,Bani Gultom
10829,motizenchannel,HARIS RUSLY MOTI
10831,studiyanto,BSt
10840,Julian303,Marisma Haque
10867,conan_idn,INDONESIA Tanpa Miras 🇮🇩🇵🇸🇹🇷🇮🇩
10880,takiif,From Pemancing Indonesia
10888,tjeskies,A
10894,Kang_Djawir,🇮🇩 Popeye Insaf 🇮🇩
10898,gusuran76,Gus Uran🌻🌻🌻🏴
10938,Quvvatt,Hery
10939,joezenzie,D D
10959,jatralagi,JatrAwae
10970,monot0ne,Agus Dwisakti
10981,hijaubiru,bLub
11004,JousairiJ,Jousairi Hasbullah
